pt__suburban_multifamily,"Predominantly containing apartments, condos, and town homes, Suburban Multifamily represents developments that may have internal walking paths but are set in an automobile-oriented context. While densities can be high enough to support bus transit, residents are likely to drive for most trips. Typical buildings are 2-5 stories tall, surrounded by surface parking lots."

pt__town_commercial,"Equivalent to the center of a traditional town, or a more employment-focused transit-oriented development, Town Commercial contains a mix of buildings set in a walkable context. Typical structures are between 2 and 8 stories tall, with ground-floor retail, and offices, services, and some residential uses on upper floors."

pt__town_mixed_use,"Town Mixed Use areas are walkable mixed-use neighborhoods, such as the mixed-use core of a small city or transit oriented development, with a variety of uses and building types. Typical buildings are between 3 and 8 stories tall, with ground-floor retail space, and offices and/or residences on the floors above. Parking is usually structured, above or below ground."

pt__town_residential,"Containing a mix of townhomes, condominiums and apartments (but generally very few, if any, single family homes), Town Residential is characterized by dense residential neighborhoods interspersed with occasional retail areas. Typical buildings are 2-5 stories tall, with limited off-street parking. Residents tend to use transit, walking and bicycling for many of their transportation needs."

pt__urban_commercial,"Urban Commercial areas are typically found within major Central Business Districts. They are exemplified by mid- and high-rise office towers. Typical buildings are between 20 and 40+ stories tall, with ground-floor retail space, and offices on the floors above. Parking is usually structured below or above ground; workers tend to arrive by transit, foot or bicycle in large numbers."

pt__urban_mixed_use,"Urban Mixed Use districts are exemplified by a variety of intense uses and building types. Typical buildings are between 3 and 40+ stories tall, with ground-floor retail space, and offices and/or residences on the floors above. Parking is usually structured below or above ground. Workers, residents, and visitors are well served by transit, and can walk or bicycle for many of their transportation needs."

pt__urban_residential,"The most intense residential-focused type, Urban Residential areas are typically found within or adjacent to major downtowns. They include high- and mid-rise residential towers, with some ground-floor retail space, and parking usually structured below or above ground. Residents are well served by transit, and can walk or bicycle for many of their transportation needs."

pt__village_commercial,"Equivalent to the center of a small town or district, or a lower-intensity employment-focused transit-oriented development, Village Commercial contains a mix of buildings set in a walkable context. Typical structures are between 2 and 6 stories tall, with some ground-floor retail, and offices, services, and some residential on upper floors."

pt__village_mixed_use,"Village Mixed Use areas are the walkable mixed-use cores of traditional neighborhoods. They are often oriented around a transit station. Typical buildings are between 2 and 6 stories tall, with ground-floor retail space, and offices and/or residences on the floors above. Parking is typically structured, tucked under, or placed behind buildings so that it does not detract from the pedestrian environment."

pt__village_residential,"Containing a mix of single-family homes on small lots and townhomes, Village Residential is characterized by traditional neighborhoods, designed to be supportive of transit service, walking and bicycling. Typical buildings are 2-3 stories tall, with small yards and an active focus on the public realm."
