meta_class,btid,color_hex,building_type,urban_mixed_use,urban_residential,urban_commercial,city_mixed_use,city_residential,city_commercial,town_mixed_use,town_residential,town_commercial,village_mixed_use,village_residential,village_commercial,neighborhood_residential,neighborhood_low,office_focus,mixed_office_and_r_and_d,office_industrial,industrial_focus,low_density_employment_park,high_intensity_activity_center,mid_intensity_activity_center,low_intensity_retail_centered_neighborhood,retail_strip_mall_big_box,industrial_office_res_mixed_high,industrial_office_res_mixed_low,suburban_multifamily,suburban_mixed_residential,residential_subdivision,large_lot_residential_area,rural_residential,rural_ranchettes,rural_employment,campus_or_university,institutional,parks_and_open_space,blank
Civic,46,#538DD5,Urban Elementary School,0.02,0.02,0,0.02,0.02,0,0.04,0.04,0,0.04,0.04,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,47,#538DD5,Non-Urban Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.02,0.03,0.06,0.04,0,0,0,0,0,0,0
Civic,48,#538DD5,Urban Middle School,0.01,0.01,0,0.01,0.01,0,0.02,0.02,0,0.02,0.02,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,49,#538DD5,Non-Urban Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0.03,0.03,0.02,0,0,0,0,0,0,0
Civic,50,#538DD5,Urban High School,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,51,#538DD5,Non-Urban High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0.03,0.03,0.02,0.0009,0,0,0,0,0,0
Infrastructure,0,#A6A6A6,Detention/Utilities,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.03,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0
Infrastructure,0,#7DBD4C,Park,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.1,0.1,0.1,0.1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.1,0.1,0.871,0
Infrastructure,0,,Streets,0.366352318,0.366352318,0.366352318,0.36,0.36,0.36,0.36,0.275690358,0.36,0.319800191,0.267923018,0.319800191,0.252008766,0.252008766,0.211102967,0.211102967,0.173553719,0.164643311,0.35,0.247430067,0.247430067,0.198039653,0.175860616,0.175860616,0.175860616,0.230532472,0.230532472,0.230532472,0.164371053,0.099142182,0.043950617,0.03251814,0.191470721,0.255294925,0.108475013,0
Civic,52,#538DD5,Urban City Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,53,#538DD5,Urban Public Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,54,#538DD5,Urban Courthouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,55,#538DD5,Urban Convention Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,56,#538DD5,Suburban Civic Complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,57,#538DD5,Town Civic Complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,58,#538DD5,Town/Branch Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,59,#538DD5,Church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institutional,60,#B0B0B0,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,61,#538DD5,Urban K-12 School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civic,62,#538DD5,Non-Urban K-12 School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank,63,#538DD5,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
