RUCS_ID,RUCS_Type_Name,Quantity_acre,Price_unit,Cost_acre,Water_acre,Labor_acre,Truck_Trips_acre,seed_cost,chemical_cost,fertilizer_cost,custom_cost,contract_cost,irrigation_cost,labor_cost,equipment_cost,fuel_cost,other_cost,feed_cost,pasture_cost,land_rent,other_cashoverhead,total_cashoverhead,establishment_cost,land_mortgage,other_noncash,total_noncash
32,Olives - Oil,3,4040.4,12708,20,34.94,,0,254,52,8243,0,330,538,102,69,0,0,0,0,727,727,418,1069,906,2393
33,Onions,48,63,3422,34.39,45.29,,0,506,419,209,0,215,679,155,175,0,0,0,357,387,744,0,171,150,321
34,Oranges,10.31,533.33,7652,32.2,26.34,,0,353,200,365,4089,323,324,177,31,0,0,0,0,485,485,381,386,539,1306
35,Orchardgrass,7,140,964,33,5.23,,0,19,81,35,0,99,67,19,20,0,0,0,0,240,240,30,250,103,383
36,Pasture,2.5,252.4,534,42,2.52,,0,3,86,62,0,74,33,3,5,0,0,0,0,111,111,27,106,24,157
37,Peaches - Fresh Market,15,800,13749,44,348.59,0.56,0,513,126,36,6506,176,4129,227,254,0,0,0,0,312,312,818,425,227,1470
38,Peaches - Processing,20,287,5864,42,124.39,0.56,0,697,42,83,1442,115,1484,128,115,0,0,0,0,338,338,595,550,276,1421
39,Pears - Green Bartlett,22,303.65,6861,30,35.13,0.3,6,574,283,472,2894,160,485,287,89,0,0,0,0,678,678,457,146,329,932
40,Pears - Organic,18,427.5,7579,30,36.57,,6,0,643,3862,317,160,543,189,225,0,0,0,0,699,699,457,146,332,935
41,Pecans,1,2400,2406,56,13.26,,0,183,113,557,11,224,176,59,45,0,0,0,0,252,252,294,249,242,785
42,Peppers - Fresh,22.5,880,13235,24,113.95,,1074,25,543,1230,5393,340,1389,208,246,419,0,0,1400,865,2265,0,0,104,104
43,Peppers - Processing,280,30,6650,18,15.8,,1206,25,445,918,1290,255,210,153,223,0,0,0,1400,424,1824,0,0,100,100
44,Pistachios,1.4,3240,3679,94,18.62,,0,253,303,539,0,599,256,95,108,0,0,0,0,384,384,543,313,286,1142
45,Plums,12.6,857.14,11790,44,331.91,,0,343,110,5228,63,176,3893,174,201,0,0,0,0,312,312,655,425,210,1290
46,Pomegranates,5.6,1285.71,5951,45,100.12,,0,239,163,2719,0,180,1278,113,85,0,0,0,0,289,289,256,425,204,885
47,Potatoes - Fresh,25,140,3242,25,28.93,,0,558,486,74,280,153,435,104,172,0,0,0,313,256,569,0,228,183,411
48,Potatoes - Processing,25,155,3531,25,28.93,,429,465,405,61,280,153,435,177,241,0,0,0,313,255,568,0,155,163,318
49,Prunes,4,1400,4886,30.01,44.57,0.15,0,164,221,1979,0,115,532,74,79,0,0,0,0,449,449,518,449,306,1273
50,Raspberries,11.25,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Rice,7.56,204.66,1605,49.2,4.99,0.14,59,284,140,26,198,108,103,85,107,0,0,0,280,65,345,0,95,55,150
52,Rice - Wild,0.8,960,808,50,5.02,0.14,0,12,54,167,0,100,60,12,19,0,0,0,150,138,288,63,0,33,96
53,Safflower,1.1,330,351,6,2.68,0.05,13,20,58,3,0,11,41,46,38,0,0,0,73,46,119,0,0,26,26
54,Small Farm Leafy Greens,9.5,2684.22,13811,17,583.88,,200,66,800,0,0,581,6900,0,266,2964,0,0,267,550,817,606,0,612,1218
55,Small Farm Nightshades,12,2233.6,22393,42,1276.88,,357,10,1287,805,0,648,15195,0,87,1996,0,0,267,524,791,606,0,612,1218
56,Small Farm Nuts,0.95,7894.74,6481,24,127.88,,33,243,20,0,21,64,1559,0,87,517,0,0,446,757,1203,1023,0,1032,2055
57,Small Farm Nuts - Organic,0.95,9263.16,6201,24,127.88,,0,308,320,0,21,64,1320,0,87,788,0,0,446,792,1238,1023,0,1032,2055
58,Small Farm Root Vegetables,10.5,1470.7,11872,25,508.88,,1018,487,408,0,0,602,6000,0,262,1012,0,0,267,550,817,631,0,636,1267
59,Small Farm Root Vegetables - Organic,10.5,1470.7,11484,25,508.88,,1018,108,364,0,0,602,6000,0,262,1010,0,0,267,587,854,631,0,636,1267
,Sorghum - Grain,4,140,749,30,2.17,,16,52,63,118,0,137,29,18,31,0,0,0,188,56,244,0,0,40,40
60,Sorghum - Silage,24,28,665,30,2.17,,16,52,63,34,0,137,29,18,31,0,0,0,188,56,244,0,0,40,40
61,Squash,15,1900,19878,20,528.29,,312,488,1168,0,0,184,7329,433,757,366,0,0,0,1892,1892,0,4750,2200,6950
62,Strawberry - Fresh,11,3600,31999,36,1032,,12028,321,484,0,1283,1146,13900,0,500,325,0,0,461,765,1226,0,0,787,787
63,Sudangrass - Hay,5,110,1035,28,1.52,,225,40,63,244,0,128,20,15,21,0,0,0,188,56,244,0,0,36,36
64,Sudangrass - Silage,14,34,747,28,1.52,,150,40,63,33,0,128,20,13,21,0,0,0,188,56,244,0,0,36,36
65,Sunflower,0.68,2000,791,29,4.86,0.02,0,63,78,72,5,64,72,41,52,0,0,0,231,58,289,0,0,55,55
66,Sweet Potato,0.33,22000,5604,30,144.54,,591,298,211,157,0,166,1475,266,255,0,0,0,393,510,903,0,0,1281,1281
67,Timothygrass,6,261.13,1161,32,2.03,,0,97,296,153,0,148,25,3,6,0,0,0,150,109,259,142,0,32,174
68,Tomatoes - Fresh Market,15,4280,77139,22,4619.16,,470,449,1168,0,0,210,61980,1160,274,1482,0,0,0,2052,2052,0,4750,3145,7895
69,Tomatoes - Processing,44,80,3153,30.5,24.96,0.44,425,125,195,520,98,274,265,197,213,0,0,0,422,198,620,0,0,222,222
70,Walnut,3,2400,4314,42,7.28,0.1,0,405,168,300,980,196,101,50,35,0,0,0,0,435,435,680,700,264,1644
71,Walnut - Organic,0.5,2400,3047,24,11.88,0.1,0,111,280,324,0,126,219,71,90,0,0,0,0,635,635,0,528,662,1190
72,Wheat,6,158.33,901,20,1.57,0.09,56,54,185,62,0,167,20,22,21,0,0,0,250,52,302,0,0,13,13
